"region","crop","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"12 Skåne county","winter wheat",0.6,0.7,0.6,0.9,0.7,0.6,0.5,0.7,0.5,1.1,0.7,0.6,0.5,0.6,0.9
"12 Skåne county","spring wheat",2.7,1.5,1.5,1.9,1.9,1.9,1.6,2.6,3.0,1.5,2.5,2.4,2.8,2.6,4.0
"12 Skåne county","rye",1.6,1.9,1.6,2.1,1.3,1.7,1.5,1.5,1.5,2.3,1.5,1.8,2.5,1.6,2.4
"12 Skåne county","winter barley",2.8,2.1,2.0,2.4,1.4,1.7,2.5,1.9,2.0,3.4,1.5,1.9,2.5,1.1,2.1
"12 Skåne county","spring barley",0.9,1.1,0.8,1.0,0.8,1.2,0.8,1.1,1.0,1.2,0.9,0.9,1.0,0.7,1.4
"12 Skåne county","oats",3.3,2.8,2.4,3.2,1.7,2.7,3.2,3.3,3.7,3.1,2.6,1.9,2.1,2.4,3.8
"12 Skåne county","Winter triticale",3.7,4.1,5.2,2.7,3.3,2.6,2.3,2.7,2.3,4.2,3.2,2.1,3.2,3.3,3.5
"12 Skåne county","spring triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"12 Skåne county","mixed grain",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"12 Skåne county","peas",..,11.4,..,..,..,..,2.9,4.3,3.4,7.0,5.8,3.0,8.2,2.6,8.2
"12 Skåne county","field beans",..,..,5.1,..,5.6,5.3,3.4,2.8,2.6,5.7,2.2,2.5,3.2,2.2,4.6
"12 Skåne county","corn",3.3,5.1,2.4,4.4,3.8,4.7,..,4.7,4.6,4.5,3.6,3.0,4.3,1.8,2.7
"12 Skåne county","table potatoes",1.4,1.3,1.1,0.9,1.1,1.0,1.3,1.4,1.6,1.4,1.6,1.6,1.5,1.5,1.6
"12 Skåne county","potatoes for processing of starch",2.1,1.3,1.3,1.3,1.6,1.3,0.8,0.8,1.1,1.9,1.0,1.0,1.4,1.1,3.2
"12 Skåne county","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"12 Skåne county","winter rape",0.7,0.7,1.0,0.9,0.9,0.5,0.5,1.0,0.7,1.3,0.5,0.7,0.6,0.7,1.5
"12 Skåne county","spring rape",..,4.4,5.4,2.4,3.3,..,..,..,..,..,..,..,..,..,..
"12 Skåne county","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"12 Skåne county","spring turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"12 Skåne county","oil flax",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"12 Skåne county","temporary grasses",..,..,8.0,7.4,6.6,5.9,7.4,8.1,5.9,6.9,6.0,5.0,5.7,6.5,7.1
